memberno,productno,rating
72,21,3.0
47,15,3.0
77,23,1.0
27,8,2.0
75,1,1.0
84,11,4.0
68,7,2.0
21,4,5.0
3,22,3.0
70,16,3.0
48,5,2.0
8,7,5.0
2,8,5.0
25,5,3.0
28,16,3.0
62,11,3.0
60,4,5.0
57,9,2.0
10,8,4.0
85,9,2.0
3,6,4.0
32,9,4.0
60,8,4.0
97,11,2.0
91,19,4.0
3,12,2.0
28,22,5.0
65,11,2.0
22,17,4.0
47,19,5.0
73,4,3.0
54,25,4.0
3,9,4.0
71,4,4.0
68,14,3.0
94,25,4.0
43,17,1.0
31,2,5.0
5,21,1.0
10,12,4.0
82,5,4.0
22,7,4.0
22,10,2.0
100,15,3.0
5,7,5.0
21,3,5.0
98,25,5.0
50,19,5.0
52,24,5.0
12,7,3.0
20,20,4.0
1,19,2.0
2,13,4.0
49,6,5.0
83,1,5.0
93,7,2.0
45,1,4.0
73,15,5.0
38,8,5.0
44,6,4.0
88,14,3.0
1,1,1.0
89,17,4.0
2,9,3.0
58,16,4.0
18,16,5.0
35,16,1.0
88,23,5.0
34,9,5.0
70,8,4.0
23,13,4.0
20,14,3.0
25,12,1.0
31,18,3.0
56,25,4.0
74,17,2.0
90,15,4.0
89,8,3.0
26,12,3.0
93,9,5.0
41,13,5.0
41,23,3.0
96,6,5.0
70,9,3.0
2,18,5.0
54,8,4.0
66,10,5.0
38,14,3.0
99,18,4.0
5,3,4.0
40,3,4.0
8,2,4.0
6,5,4.0
39,21,5.0
37,13,2.0
75,19,5.0
70,22,4.0
22,10,3.0
78,7,4.0
28,12,4.0
24,25,3.0
100,15,5.0
28,11,4.0
51,21,3.0
95,19,4.0
98,11,5.0
23,20,4.0
86,1,5.0
81,22,5.0
92,2,4.0
24,13,3.0
55,21,5.0
87,16,5.0
21,2,4.0
92,12,4.0
6,10,4.0
7,20,4.0
6,15,3.0
61,18,3.0
21,7,4.0
87,25,4.0
4,9,3.0
99,24,4.0
52,12,5.0
58,3,5.0
73,11,2.0
19,23,5.0
15,14,5.0
15,6,3.0
25,6,3.0
20,3,3.0
19,8,3.0
33,5,4.0
44,14,3.0
76,25,3.0
7,3,3.0
77,6,5.0
89,22,5.0
74,19,4.0
94,20,4.0
90,22,1.0
28,1,4.0
29,15,2.0
57,12,2.0
64,8,2.0
6,19,4.0
83,10,2.0
68,7,5.0
27,25,2.0
86,21,2.0
68,25,4.0
51,17,3.0
30,13,3.0
37,22,4.0
17,25,3.0
31,11,4.0
74,1,4.0
78,20,3.0
95,22,4.0
77,24,4.0
19,24,3.0
31,3,4.0
27,2,5.0
89,23,3.0
32,6,5.0
41,11,2.0
18,23,3.0
61,10,2.0
52,7,4.0
38,25,4.0
85,19,4.0
44,21,4.0
27,22,3.0
18,10,2.0
95,2,4.0
26,11,4.0
16,11,1.0
4,20,5.0
99,19,4.0
30,17,3.0
15,7,1.0
12,3,4.0
58,20,3.0
23,14,2.0
22,2,4.0
6,16,4.0
91,23,3.0
75,1,4.0
25,16,4.0
26,25,5.0
87,1,4.0
99,19,5.0
72,9,3.0
73,18,3.0
62,11,4.0
21,12,4.0
64,8,3.0
39,11,3.0
7,25,2.0
58,14,4.0
25,9,3.0
90,7,4.0
49,16,4.0
79,2,4.0
31,3,3.0
8,9,4.0
56,4,2.0
3,8,3.0
37,17,2.0
11,11,5.0
23,15,5.0
56,14,2.0
21,6,3.0
24,22,4.0
73,5,4.0
54,23,4.0
32,17,3.0
31,18,5.0
69,14,5.0
76,18,2.0
18,3,5.0
11,4,4.0
20,6,4.0
40,17,4.0
69,8,5.0
82,11,3.0
56,19,4.0
22,23,1.0
30,6,4.0
83,21,5.0
95,17,4.0
84,16,5.0
57,3,3.0
63,6,5.0
81,23,1.0
2,18,4.0
70,16,3.0
18,15,2.0
96,3,2.0
49,17,2.0
57,18,4.0
35,18,4.0
60,9,4.0
94,24,5.0
80,6,1.0
41,15,4.0
22,7,2.0
52,11,4.0
35,5,3.0
56,22,4.0
1,1,4.0
6,21,5.0
43,4,3.0
18,23,3.0
91,5,3.0
1,14,4.0
77,1,4.0
24,12,3.0
96,19,3.0
41,18,3.0
13,15,3.0
6,25,5.0
4,3,5.0
73,11,2.0
6,16,2.0
10,7,4.0
36,22,5.0
30,9,4.0
61,3,3.0
11,14,2.0
7,16,4.0
47,10,1.0
92,1,4.0
12,4,5.0
84,10,3.0
6,3,4.0
82,2,2.0
5,18,4.0
93,2,5.0
80,25,4.0
92,15,4.0
82,25,1.0
75,6,1.0
96,7,4.0
