memberno,productno,rating
26,25,3.0
22,6,3.0
37,21,1.0
3,23,2.0
3,10,1.0
9,4,4.0
25,13,2.0
31,21,5.0
45,19,3.0
41,7,3.0
9,18,2.0
13,7,5.0
28,3,5.0
6,17,3.0
28,8,3.0
27,8,3.0
36,18,5.0
24,23,2.0
6,19,4.0
6,16,2.0
22,2,4.0
48,15,4.0
50,7,4.0
22,18,2.0
34,19,4.0
33,20,2.0
35,23,5.0
36,12,2.0
46,3,4.0
11,21,5.0
22,3,3.0
23,16,4.0
27,5,4.0
45,7,4.0
9,20,3.0
34,22,4.0
29,1,1.0
23,2,5.0
25,15,1.0
25,16,4.0
10,25,4.0
40,4,4.0
50,2,2.0
45,14,3.0
43,19,5.0
24,24,5.0
26,3,5.0
13,10,5.0
17,6,5.0
27,3,3.0
8,8,4.0
49,7,2.0
3,19,4.0
4,23,5.0
33,9,5.0
40,9,2.0
12,5,4.0
24,16,5.0
46,5,5.0
12,19,4.0
50,8,3.0
25,13,1.0
40,2,4.0
29,9,3.0
5,19,4.0
25,4,5.0
14,7,1.0
27,21,5.0
26,1,5.0
33,24,4.0
40,15,4.0
9,6,3.0
41,7,1.0
48,25,3.0
46,16,4.0
48,15,2.0
12,24,4.0
16,2,3.0
21,15,3.0
32,23,5.0
28,15,5.0
41,22,3.0
16,21,5.0
7,22,3.0
29,17,5.0
21,17,4.0
43,17,5.0
11,6,3.0
22,6,4.0
3,18,4.0
48,8,4.0
8,16,4.0
37,2,4.0
28,6,5.0
13,13,2.0
12,4,5.0
39,5,4.0
20,10,3.0
4,10,4.0
49,14,4.0
6,6,3.0
44,1,5.0
24,23,4.0
4,8,3.0
42,17,4.0
36,9,5.0
9,7,4.0
36,12,5.0
29,4,5.0
10,19,4.0
33,7,3.0
30,10,5.0
36,4,5.0
8,16,4.0
6,7,4.0
16,23,4.0
9,17,4.0
4,7,3.0
22,17,3.0
24,6,4.0
49,2,4.0
48,3,3.0
47,24,4.0
39,9,5.0
4,25,5.0
50,17,2.0
15,8,5.0
26,7,5.0
23,9,3.0
10,1,3.0
46,22,3.0
8,15,3.0
34,16,4.0
6,3,3.0
18,19,3.0
7,7,3.0
38,14,5.0
21,5,5.0
47,22,4.0
46,6,4.0
25,19,1.0
40,22,4.0
45,1,2.0
31,17,2.0
7,8,2.0
5,2,4.0
30,21,2.0
35,4,5.0
44,13,2.0
33,15,2.0
27,8,4.0
31,8,3.0
30,19,3.0
43,24,4.0
7,24,3.0
44,3,4.0
39,14,4.0
23,22,3.0
36,16,4.0
26,22,4.0
30,19,3.0
30,12,4.0
12,15,5.0
36,10,3.0
32,21,5.0
39,12,2.0
18,8,3.0
37,13,2.0
28,6,4.0
31,18,4.0
4,9,4.0
13,5,4.0
8,3,3.0
20,20,2.0
34,18,4.0
48,23,4.0
26,19,1.0
45,18,5.0
8,15,4.0
19,24,3.0
29,2,1.0
5,24,4.0
49,9,3.0
9,19,2.0
47,4,4.0
50,21,4.0
46,12,3.0
17,16,4.0
48,2,4.0
10,20,5.0
33,8,4.0
18,3,5.0
25,7,3.0
47,16,3.0
13,4,4.0
20,3,4.0
11,13,3.0
29,5,3.0
30,12,2.0
20,24,4.0
21,5,3.0
11,24,4.0
8,6,4.0
43,10,4.0
47,15,3.0
10,10,4.0
40,14,2.0
39,18,3.0
36,1,2.0
39,19,5.0
15,14,5.0
13,13,2.0
23,9,3.0
12,5,4.0
42,2,4.0
42,17,4.0
9,1,3.0
22,8,5.0
4,4,5.0
32,23,2.0
9,20,5.0
35,14,4.0
36,10,4.0
40,15,4.0
23,17,5.0
22,16,3.0
14,14,4.0
30,1,1.0
17,10,4.0
49,23,5.0
29,18,4.0
5,7,5.0
19,21,3.0
46,22,5.0
42,15,1.0
38,19,4.0
47,24,3.0
7,17,2.0
24,3,2.0
28,14,2.0
38,23,4.0
32,17,4.0
31,23,4.0
15,22,5.0
45,22,1.0
47,12,4.0
20,12,2.0
23,14,4.0
13,8,3.0
21,7,4.0
46,25,4.0
32,5,5.0
28,19,3.0
6,5,3.0
6,13,3.0
4,15,4.0
16,10,4.0
43,18,3.0
30,21,3.0
24,3,3.0
23,1,3.0
45,7,5.0
44,2,5.0
37,13,2.0
37,10,2.0
3,25,4.0
48,17,5.0
45,10,4.0
37,1,3.0
23,6,2.0
42,5,4.0
3,12,1.0
15,14,4.0
17,20,5.0
31,10,3.0
49,25,4.0
30,4,2.0
18,12,4.0
7,16,5.0
15,19,4.0
3,4,4.0
20,2,1.0
30,24,1.0
17,4,4.0
27,9,3.0
45,24,3.0
21,9,4.0
3,17,1.0
50,5,5.0
23,1,5.0
46,9,3.0
20,23,4.0
9,15,5.0
27,21,1.0
20,7,5.0
39,23,3.0
6,18,5.0
49,15,4.0
5,7,4.0
18,12,2.0
33,1,3.0
6,19,5.0
33,2,2.0
29,24,1.0
10,25,3.0
20,7,3.0
18,10,5.0
25,3,4.0
43,11,4.0
41,24,5.0
14,5,3.0
32,16,3.0
36,13,3.0
31,22,5.0
12,12,3.0
50,3,4.0
35,8,5.0
7,19,5.0
33,6,2.0
49,12,3.0
6,6,4.0
26,1,5.0
20,12,5.0
37,12,4.0
22,14,2.0
4,5,5.0
27,12,5.0
3,9,5.0
41,22,3.0
37,10,3.0
13,17,4.0
32,19,1.0
44,3,3.0
8,9,4.0
11,25,4.0
41,3,5.0
7,16,3.0
8,18,4.0
20,14,4.0
28,8,2.0
48,17,3.0
47,25,3.0
45,3,1.0
26,14,3.0
29,6,3.0
38,16,3.0
33,23,4.0
49,17,5.0
21,4,3.0
44,21,2.0
24,18,5.0
47,20,4.0
37,2,4.0
8,4,1.0
31,19,3.0
47,21,4.0
16,12,5.0
17,3,3.0
40,7,2.0
7,18,5.0
9,25,4.0
20,21,4.0
20,8,3.0
41,11,4.0
17,13,3.0
44,24,4.0
44,4,3.0
24,14,5.0
36,4,5.0
35,4,3.0
34,20,4.0
32,13,3.0
21,3,5.0
14,21,3.0
37,6,3.0
7,22,3.0
19,5,4.0
34,21,2.0
32,22,4.0
16,24,2.0
46,20,3.0
11,23,4.0
43,22,4.0
37,1,2.0
41,23,3.0
4,18,3.0
22,2,3.0
43,18,3.0
43,21,4.0
26,23,3.0
47,13,5.0
4,25,5.0
30,24,2.0
28,22,3.0
38,2,4.0
11,12,4.0
34,14,4.0
35,7,5.0
46,1,4.0
44,2,3.0
13,23,5.0
25,3,3.0
18,9,5.0
46,21,3.0
25,24,5.0
12,2,3.0
40,13,2.0
45,22,1.0
33,25,1.0
13,15,4.0
5,13,3.0
32,8,2.0
28,1,3.0
34,23,3.0
6,17,4.0
35,11,4.0
25,10,3.0
15,22,5.0
17,17,5.0
33,6,3.0
16,25,4.0
10,21,4.0
38,18,2.0
4,2,5.0
36,21,2.0
5,4,3.0
50,22,3.0
26,5,4.0
8,20,4.0
8,25,4.0
28,16,3.0
