memberno,productno,rating
4,19,3.0
30,13,3.0
8,21,1.0
26,23,2.0
29,24,1.0
3,20,4.0
8,22,2.0
39,12,5.0
34,16,3.0
35,8,3.0
29,12,2.0
17,11,5.0
15,14,5.0
43,2,3.0
13,16,3.0
48,24,3.0
7,2,5.0
29,1,2.0
6,1,4.0
49,6,2.0
16,24,4.0
13,13,4.0
23,19,4.0
31,6,2.0
16,5,4.0
47,1,2.0
42,4,5.0
16,15,2.0
10,24,4.0
27,2,5.0
11,8,3.0
19,6,4.0
6,11,4.0
27,3,4.0
33,24,3.0
16,6,4.0
41,4,1.0
19,14,5.0
45,25,1.0
17,12,4.0
15,10,4.0
15,5,4.0
10,11,2.0
47,22,3.0
31,3,5.0
40,11,5.0
5,23,5.0
36,2,5.0
43,20,5.0
48,11,3.0
48,2,4.0
35,6,2.0
1,5,4.0
48,11,5.0
19,6,5.0
46,10,2.0
25,15,4.0
15,23,5.0
22,4,5.0
8,12,4.0
46,9,3.0
22,10,1.0
24,8,4.0
8,13,3.0
33,17,4.0
21,2,5.0
20,11,1.0
2,20,5.0
43,19,5.0
7,8,4.0
39,15,4.0
39,19,3.0
47,21,1.0
13,25,3.0
1,17,4.0
48,14,2.0
7,10,4.0
28,11,3.0
11,2,3.0
28,11,5.0
23,1,5.0
22,22,3.0
21,25,5.0
46,4,3.0
8,11,5.0
4,14,4.0
45,16,5.0
19,18,3.0
42,9,4.0
21,22,4.0
13,1,4.0
49,18,4.0
31,5,4.0
20,15,5.0
2,9,2.0
29,11,5.0
49,22,4.0
8,8,3.0
18,8,4.0
43,11,4.0
25,11,3.0
18,4,5.0
46,22,4.0
48,14,3.0
30,24,4.0
45,3,5.0
41,8,4.0
12,13,5.0
47,4,5.0
24,19,4.0
46,3,3.0
44,2,5.0
40,3,5.0
29,11,4.0
33,9,4.0
25,5,4.0
13,5,4.0
45,25,3.0
33,13,3.0
20,21,4.0
2,18,4.0
43,15,3.0
27,1,4.0
9,18,5.0
42,12,5.0
30,22,2.0
8,17,5.0
25,15,5.0
48,6,3.0
13,13,3.0
46,15,3.0
45,24,3.0
14,23,4.0
28,14,3.0
25,18,3.0
14,16,3.0
21,11,5.0
28,17,5.0
10,15,4.0
18,10,4.0
35,14,1.0
35,15,4.0
4,17,2.0
14,23,2.0
2,1,2.0
25,7,4.0
35,22,2.0
35,17,5.0
1,13,2.0
49,23,2.0
1,10,4.0
27,20,3.0
28,3,3.0
13,23,4.0
29,19,3.0
30,19,4.0
8,7,4.0
17,22,3.0
12,8,4.0
22,5,4.0
30,23,3.0
31,14,4.0
1,11,5.0
25,15,3.0
2,5,5.0
50,5,2.0
21,9,3.0
36,17,2.0
17,13,4.0
4,13,4.0
27,1,4.0
35,16,4.0
41,19,3.0
28,9,2.0
29,6,4.0
15,2,4.0
26,23,1.0
36,7,5.0
3,25,4.0
13,8,3.0
47,1,1.0
36,5,4.0
27,6,3.0
3,24,2.0
48,22,4.0
44,1,4.0
50,9,3.0
13,1,4.0
23,21,4.0
5,4,5.0
40,15,4.0
19,20,5.0
17,17,3.0
41,10,3.0
20,19,4.0
9,23,4.0
2,10,3.0
11,7,3.0
16,12,2.0
11,8,4.0
25,15,3.0
49,11,4.0
33,5,4.0
32,8,4.0
16,17,3.0
17,9,4.0
13,15,2.0
9,15,3.0
34,8,2.0
17,13,5.0
36,3,5.0
41,23,2.0
18,23,3.0
28,14,4.0
17,8,4.0
1,2,4.0
43,5,3.0
13,23,5.0
10,7,5.0
30,13,2.0
24,2,5.0
4,8,4.0
39,10,4.0
9,3,4.0
33,8,5.0
15,11,3.0
19,4,4.0
18,25,1.0
12,19,4.0
47,20,5.0
4,9,4.0
37,16,5.0
7,18,3.0
46,1,5.0
20,20,1.0
2,12,4.0
41,19,3.0
42,13,2.0
1,12,2.0
11,23,2.0
35,24,4.0
15,13,4.0
5,12,4.0
16,11,5.0
43,25,1.0
2,4,4.0
36,4,2.0
5,5,4.0
20,5,3.0
22,24,4.0
10,22,4.0
49,20,5.0
50,6,3.0
4,4,3.0
1,15,3.0
49,11,4.0
1,21,4.0
11,9,3.0
3,14,3.0
48,4,3.0
3,16,3.0
3,6,5.0
9,23,5.0
8,6,2.0
35,22,2.0
9,10,4.0
32,21,5.0
46,9,4.0
35,25,3.0
2,3,2.0
47,9,4.0
36,5,1.0
33,20,4.0
37,15,5.0
30,5,3.0
44,14,4.0
7,15,2.0
31,2,4.0
5,10,5.0
2,19,4.0
32,8,4.0
28,19,1.0
6,15,1.0
24,22,4.0
25,1,3.0
3,5,3.0
25,10,4.0
45,15,1.0
33,5,5.0
23,5,5.0
21,21,3.0
37,2,4.0
4,4,5.0
21,3,1.0
24,22,5.0
10,23,3.0
4,6,5.0
34,3,4.0
48,25,4.0
25,2,2.0
